   MJD       EECO-REF    NIST-REF NS   DATE    COMMENTS	
=========    ========    ======== == ========  ========
# following clock offsets are from file:
#   ~/tree/timing/1518+4904/work_08Jan01/from_gemma/wsrtgps.clk
# converted to standard tempo format by:
#   ~/tree/timing/1518+4904/work_08Jan01/do.convert.wsrtclk
     0.00       0.0         0.000 i 
     0.00       0.0         0.000 i 
     0.00       0.0         0.000 i 
     0.00       0.0         0.000 i 
 47000.00       0.0         0.000 i 
 51100.00       0.0        -0.800 i 
 51300.00       0.0        -0.890 i 
 51463.04       0.0        -1.021 i 
 51463.54       0.0        -0.821 i 
 51464.04       0.0        -0.941 i 
 51464.52       0.0        -0.872 i 
 51465.03       0.0        -1.018 i 
 51465.53       0.0        -0.995 i 
 51466.03       0.0        -0.929 i 
 51466.53       0.0        -0.907 i 
 51467.03       0.0        -0.932 i 
 51467.53       0.0        -0.942 i 
 51468.03       0.0        -0.953 i 
 51468.53       0.0        -0.960 i 
 51469.03       0.0        -0.966 i 
 51469.53       0.0        -0.973 i 
 51470.03       0.0        -0.983 i 
 51470.53       0.0        -1.057 i 
 51471.03       0.0        -1.044 i 
 51471.53       0.0        -1.012 i 
 51472.03       0.0        -1.057 i 
 51472.53       0.0        -1.060 i 
 51473.03       0.0        -1.061 i 
 51473.53       0.0        -1.061 i 
 51474.03       0.0        -1.068 i 
 51474.53       0.0        -1.076 i 
 51475.03       0.0        -1.086 i 
 51475.53       0.0        -1.091 i 
 51476.03       0.0        -1.097 i 
 51476.53       0.0        -1.102 i 
 51477.03       0.0        -1.110 i 
 51477.50       0.0        -1.196 i 
 51477.54       0.0        -1.191 i 
 51478.00       0.0        -1.217 i 
 51478.04       0.0        -1.218 i 
 51480.54       0.0        -1.047 i 
 51481.00       0.0        -1.247 i 
 51481.04       0.0        -1.251 i 
 51481.50       0.0        -1.268 i 
 51481.54       0.0        -1.269 i 
 51482.00       0.0        -1.281 i 
 51482.04       0.0        -1.283 i 
 51482.50       0.0        -1.293 i 
 51482.54       0.0        -1.293 i 
 51483.00       0.0        -1.299 i 
 51483.04       0.0        -1.300 i 
 51484.02       0.0        -1.352 i 
 51485.55       0.0        -1.365 i 
 51486.03       0.0        -1.394 i 
 51486.53       0.0        -1.400 i 
 51488.03       0.0        -1.382 i 
 51488.53       0.0        -1.396 i 
 51489.03       0.0        -1.411 i 
 51489.53       0.0        -1.448 i 
 51490.03       0.0        -1.431 i 
 51492.01       0.0        -1.524 i 
 51493.04       0.0        -1.495 i 
 51494.02       0.0        -1.513 i 
 51494.52       0.0        -1.502 i 
 51495.02       0.0        -1.532 i 
 51495.52       0.0        -1.528 i 
 51496.02       0.0        -1.531 i 
 51496.52       0.0        -1.523 i 
 51497.02       0.0        -1.563 i 
 51497.54       0.0        -1.459 i 
 51498.04       0.0        -1.608 i 
 51498.54       0.0        -1.561 i 
 51499.04       0.0        -1.559 i 
 51499.54       0.0        -1.528 i 
 51500.04       0.0        -1.509 i 
 51500.54       0.0        -1.546 i 
 51501.04       0.0        -1.603 i 
 51502.03       0.0        -1.565 i 
 51502.53       0.0        -1.535 i 
 51503.04       0.0        -1.583 i 
 51503.53       0.0        -1.575 i 
 51504.03       0.0        -1.575 i 
 51504.53       0.0        -1.569 i 
 51505.03       0.0        -1.614 i 
 51506.04       0.0        -1.661 i 
 51506.52       0.0        -1.670 i 
 51507.02       0.0        -1.699 i 
 51508.04       0.0        -1.475 i 
 51508.54       0.0        -1.700 i 
 51509.04       0.0        -1.594 i 
 51509.54       0.0        -1.558 i 
 51510.04       0.0        -1.626 i 
 51510.54       0.0        -1.588 i 
 51511.04       0.0        -1.614 i 
 51512.02       0.0        -1.608 i 
 51515.01       0.0        -1.735 i 
 51520.04       0.0        -1.848 i 
 51521.02       0.0        -1.935 i 
 51521.52       0.0        -1.724 i 
 51522.02       0.0        -1.754 i 
 51522.52       0.0        -1.723 i 
 51523.02       0.0        -1.698 i 
 51523.52       0.0        -1.707 i 
 51524.02       0.0        -1.700 i 
 51524.52       0.0        -1.709 i 
 51525.02       0.0        -1.731 i 
 51525.52       0.0        -2.186 i 
 51526.00       0.0        -2.230 i 
 51526.04       0.0        -2.236 i 
 51526.50       0.0        -2.227 i 
 51526.54       0.0        -2.271 i 
 51527.00       0.0        -2.286 i 
 51527.04       0.0        -2.264 i 
 51527.50       0.0        -2.277 i 
 51527.54       0.0        -2.280 i 
 51528.00       0.0        -2.323 i 
 51528.04       0.0        -2.323 i 
 51528.50       0.0        -2.300 i 
 51528.54       0.0        -2.308 i 
 51529.00       0.0        -2.359 i 
 51529.04       0.0        -2.362 i 
 51530.01       0.0        -2.364 i 
 51530.51       0.0        -2.379 i 
 51531.01       0.0        -2.441 i 
 51531.51       0.0        -2.393 i 
 51532.01       0.0        -2.444 i 
 51533.01       0.0        -2.069 i 
 51533.52       0.0        -2.057 i 
 51534.02       0.0        -2.462 i 
 51534.52       0.0        -2.359 i 
 51535.02       0.0        -2.468 i 
 51535.52       0.0        -2.428 i 
 51536.02       0.0        -2.454 i 
 51536.52       0.0        -2.447 i 
 51537.02       0.0        -2.455 i 
 51537.52       0.0        -2.432 i 
 51538.02       0.0        -2.498 i 
 51538.53       0.0        -2.489 i 
 51539.03       0.0        -2.522 i 
 51539.53       0.0        -2.544 i 
